model,model_label,ablation,horizon,task,ranking_samples,hit_at_1,hit_at_3,hit_at_5,mrr,ndcg_at_5,runnable_status,note
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,6,ranking,2645.0,1.0,1.0,1.0,1.0,1.0,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
event_attention_only,Event-attention-only,event_only_baseline,6,ranking,614.0,1.0,1.0,1.0,1.0,1.0,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
hawkes_only,Hawkes-only,event_only_baseline,6,ranking,2645.0,0.8049149338374291,0.9939508506616256,0.9947069943289224,0.8925645872715816,0.918271864254016,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
ridge_logistic,Ridge/Logistic,baseline,6,ranking,614.0,0.9169381107491856,1.0,1.0,0.955483170466884,0.9669986810144272,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,6,ranking,0.0,,,,,,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,12,ranking,0.0,,,,,,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,12,ranking,2617.0,1.0,1.0,1.0,1.0,1.0,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,12,ranking,2617.0,0.8039740160489109,0.9935040122277417,0.9942682460833014,0.8919882817475482,0.9176794885153722,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,12,ranking,649.0,1.0,1.0,1.0,1.0,1.0,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,12,ranking,2617.0,1.0,1.0,1.0,1.0,1.0,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,12,ranking,2617.0,1.0,1.0,1.0,1.0,1.0,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
event_attention_only,Event-attention-only,event_only_baseline,12,ranking,649.0,1.0,1.0,1.0,1.0,1.0,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
hawkes_only,Hawkes-only,event_only_baseline,12,ranking,2617.0,0.8039740160489109,0.9935040122277417,0.9942682460833014,0.8919882817475482,0.9176794885153722,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
ridge_logistic,Ridge/Logistic,baseline,12,ranking,649.0,0.9275808936825886,1.0,1.0,0.9617360041088854,0.9716583365012126,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,12,ranking,0.0,,,,,,run,Weak root-cause ranking uses train-only alarm-lift weak labels; not expert root-cause truth.
