model,model_label,ablation,horizon,task,kpi,is_primary_kpi,mae,rmse,mape_floor1_pct,runnable_status
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,RRC ReEst Succ Rate(%),0,11.666398337785091,18.17788984650235,255.5829889864207,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,RRC Setup Success Rate(%),1,3.337363025377207,10.184832960239609,102.0641577050381,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,RRC_ReEst_Failure_Times,0,5.8790927214831195,9.88699439006945,93.99349941989132,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,RRC_Setup_Att_Times,0,222.24905527512664,336.1645442506647,355.03233167467926,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,RRC_Setup_Failure_Times,0,1.8693307922281173,3.801934741882396,80.9967326664975,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,Rach Dedicate Preamble Att Times,0,462.3035190683157,782.024342054861,528.9231889400336,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,Rach GroupA Preamble Att Times,0,293.0726666624101,482.71009715319786,441.99193125986636,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,Rach GroupB Preamble Att Times,0,67.29610236048468,203.13779837744542,204.66944988580198,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,S1Sig Setup Success Rate(%),0,3.2740469441398226,10.180161301289976,102.35964647749391,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,TAlessthan1ratio(300m),0,4.616189728043,7.576686105082468,60.60095093236494,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,UL Activated Users Avg,0,0.183227370328418,0.27634019774610585,13.616092222561324,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,UL IBLER,0,2.0417987685638725,3.636190498287089,29.275320821302504,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,UL MCS AVG,0,1.5182102782530869,2.4755525599693033,23.400494051080322,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,UL PUCCH RSRP low than-120dBm ratio,0,4.845574804703065,8.876659741938946,71.11911533556618,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,UL PUSCH RSRP low than-120dBm ratio,0,7.578400423596706,11.210635437592712,65.77771869506523,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,(E2N or E2W or E2G)Redirection Times,0,2.5725769864163865,5.663904708325716,86.01519389337082,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,Average TA,0,0.1670804219094514,0.3207753207258583,8.828674442496991,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,CQI AVG,1,0.5364574747310354,1.139138326104417,13.453700171451633,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,Call Drop Rate RNL(%),0,0.18932420456079016,0.4827122672464699,16.876751788386464,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,Call Drop Rate(%),1,0.19292213642265374,0.4867069494581425,17.182921468422304,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,Call Drop Times,0,1.9535922519767859,4.314581337736673,90.10578417800198,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,Call Drop Times RNL,0,1.8671585863037734,4.166355953411,90.10568454825585,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,DL Activated Users Avg,0,0.1713241643186925,0.25270266141961534,13.669769267342863,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,DL IBLER,0,1.4449825204652234,2.707414340126011,22.21701158795569,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,DL MCS AVG,0,1.236704997842828,2.15478138640912,21.388052580418382,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,DL RANK2 Ratio,0,7.425788899887723,10.93646629636051,66.6307245915438,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,ERAB Setup Success Rate(%),1,3.2626943409780425,10.099143224651554,100.30777247309956,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,ERAB_Setup_Failure_Times,0,5.074253927393659,14.044032417891119,136.38139151224252,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,HI Failure Times,0,5.213052082930046,9.413504799129134,86.0703002055578,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,HI Succ Rate(%),0,3.3825012740723492,9.39246478614238,84.71271177312097,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,HI Succ Times,0,146.8721317708282,384.91906355815,241.24556392937433,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,IRATHO(E2W or E2G) Succ Times,0,0.004372903372019566,0.015368446478076272,0.43729033720195665,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,InterFreq HO Failure Times,0,0.6494315027081169,1.51754305104799,48.091204138895165,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,InterFreq HO Succ Rate(%),0,3.194665715897531,9.711974236561217,92.32960851761422,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,InterFreq HO Succ Times,0,63.09296749287532,144.76480787060814,128.77595660733857,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,IntraFreq HO Failure Times,0,1.1673327199879653,2.0494928415603146,56.921394589012486,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,IntraFreq HO Succ Rate(%),0,3.558302496621261,10.575506807527734,115.32516891660596,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,IntraFreq HO Succ Times,0,103.68791909683829,238.3802208695791,240.04858652673374,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,L.MeasRpts.RSRP.Index0~2 (RSRP<-110dbm)  Ratio (%),0,3.4830585086713812,5.970200400516919,70.75622306242583,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,L.UL.Interference.Avg(dBm),0,0.49117778543475105,0.6956048868521968,0.430442220212652,run
