model,model_label,ablation,horizon,task,metric,value,label_type,runnable_status
hawkes_only,Hawkes-only,event_only_baseline,1,forecasting,all_kpi_mape_floor1_pct,467.0437449925918,real_kpi,run
ridge_logistic,Ridge/Logistic,baseline,1,forecasting,primary_mae,2.2191360310171957,real_kpi,run
ridge_logistic,Ridge/Logistic,baseline,1,forecasting,primary_rmse,4.698356267300803,real_kpi,run
ridge_logistic,Ridge/Logistic,baseline,1,forecasting,primary_mape_floor1_pct,43.59932718678506,real_kpi,run
ridge_logistic,Ridge/Logistic,baseline,1,forecasting,all_kpi_mae,31.442610731180967,real_kpi,run
ridge_logistic,Ridge/Logistic,baseline,1,forecasting,all_kpi_rmse,58.46261312724991,real_kpi,run
ridge_logistic,Ridge/Logistic,baseline,1,forecasting,all_kpi_mape_floor1_pct,98.49085986454777,real_kpi,run
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,1,forecasting,primary_mae,2.2034168545383386,real_kpi,run
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,1,forecasting,primary_rmse,4.671156658711979,real_kpi,run
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,1,forecasting,primary_mape_floor1_pct,43.382006904552135,real_kpi,run
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,1,forecasting,all_kpi_mae,30.693126832269854,real_kpi,run
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,1,forecasting,all_kpi_rmse,53.78854927477004,real_kpi,run
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,1,forecasting,all_kpi_mape_floor1_pct,98.1797148760248,real_kpi,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,3,forecasting,primary_mae,2.490444108225166,real_kpi,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,3,forecasting,primary_rmse,4.974368579542683,real_kpi,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,3,forecasting,primary_mape_floor1_pct,46.80693558417895,real_kpi,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,3,forecasting,all_kpi_mae,39.4850306817069,real_kpi,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,3,forecasting,all_kpi_rmse,67.88850300956844,real_kpi,run
